"site_no" "feature_id" "nws_id" "action_stage" "minor_stage" "moderate_stage" "major_stage" "record_stage" "action_flow" "minor_flow" "moderate_flow" "major_flow" "record_flow" "lat" "lon" "location"
"2714" "11179000" 2806725 "NILC1" 9 9 10.5 NA 14.9 "6530" "6530" "9680" NA 29000 37.5881690979004 -121.958480834961 "ALAMEDA C NR NILES CA"
"2715" "11162500" 17688105 "PECC1" 10 NA 12 NA 22.62 "2370" NA "3350" NA 10000 37.2602500915527 -122.33031463623 "PESCADERO C NR PESCADERO CA"
"2716" "11156500" 17665649 "PIIC1" 8.5 NA 10 NA 14.55 "959" NA "177.91" NA 9660 36.6065635681152 -121.197860717773 "SAN BENITO R NR WILLOW CREEK SCHOOL CA"
"2717" "11143200" 17600477 "RDRC1" 8 9 11 13 12.9 "5830" "7810" "12800" "19200" 16000 36.4752006530762 -121.733497619629 "CARMEL R A ROBLES DEL RIO CA"
"2718" "11467000" 8272725 "RIOC1" 31 NA NA NA 49.7 "32300" NA NA NA 90100 38.510856628418 -122.924217224121 "RUSSIAN R NR GUERNEVILLE CA"
"2719" "11463900" 8272605 "RMKC1" 13.5 14.76 19.5 25 NA "3592093180.06205" "23085602971.2463" "6124922909991.64" "934772338996019" NA 38.6391372680664 -122.75821685791 "MAACAMA C NR KELLOGG CA"
"2720" "11465660" 8273423 "ROHC1" 7 8 9 10 NA "326" "454" "600" "765" NA 38.3432693481445 -122.70044708252 "COPELAND C A ROHNERT PARK CA"
"2721" "11463980" 8272297 "RRHC1" 20.8 25.42 29.93 36.73 NA "1230968375.10551" "25672151838.0546" "311216687213.438" "6996357874009.14" NA 38.630859375 -122.854286193848 "RUSSIAN R A DIGGER BEND NR HEALDSBURG CA"
"2722" "11151700" 948060170 "SDDC1" 16 NA 18 NA 26.49 "3100" NA "5620" NA 104000 36.4106750488281 -121.331092834473 "SALINAS R A SOLEDAD CA"
"2723" "11164500" 17693217 "SFCC1" 8 NA 9.5 NA 13.6 "3210" NA "4240" NA 5560 37.4474143981934 -122.17024230957 "SAN FRANCISQUITO C A STANFORD UNIVERSITY CA"
"2724" "11456000" 1670127 "SHEC1" NA 16 18 19 18.52 NA "6500" "10500" "13000" 16900 38.4839935302734 -122.419052124023 "NAPA R NR ST HELENA CA"
"2725" "11152000" 8205291 "SOLC1" 12 NA 14 NA 20.5 "13300" NA "18800" NA 17500 36.279712677002 -121.318984985352 "ARROYO SECO NR SOLEDAD CA"
"2726" "11160000" 17684378 "SOQC1" 13 16 18 22 22.33 "4710" "7210" "9160" "13700" 15800 36.9848098754883 -121.957168579102 "SOQUEL C A SOQUEL CA"
"2727" "11152500" 8200533 "SPRC1" 20 23 26 28 30.29 "13100" "19500" "27300" "33300" 95000 36.6292686462402 -121.669631958008 "SALINAS R NR SPRECKELS CA"
"2728" "11466200" 8273645 "SSAC1" 40 41 45 50 NA "8230" "64988.8287736761" "566289.194838167" "6563930.41375296" NA 38.4380149841309 -122.74462890625 "SANTA ROSA C A SANTA ROSA CA"
"2729" "11466320" 8273639 "TARC1" 62.5 70 74 77 NA "556" "2190" "3500" "4630" NA 38.4468841552734 -122.819038391113 "SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA"
"2730" "11157500" 17663805 "TESC1" 8.5 11.6 14 18 16 "3830" "9728.7" "17900" "36264.3821759691" 27200 36.7644958496094 -121.295875549316 "TRES PINOS C NR TRES PINOS CA"
"2731" "06811500" 19161749 "ABRN1" 20 22 23 27 27.65 "14100" "17300" "19100" "80700" 107000 40.3937683105469 -95.814338684082 "LITTLE NEMAHA RIVER AT AUBURN NEBR."
"2732" "06801000" 17415854 "ASLN1" 19 20 22 26 23.05 "42527" "68882" "128087" "1525239.2918716" 281023.464861258 41.0642890930176 -96.327751159668 "PLATTE RIVER NEAR ASHLAND NEBR."
"2733" "06804700" 17399187 "ASNN1" 17 19 20 NA 20.5 "2110" "2540" "2890" NA 3070 41.0526084899902 -96.3750076293945 "WAHOO CREEK AT ASHLAND NEBR."
"2734" "06882000" 2275923 "BARN1" 18 20 27 33 34.3 "15169" "18369" "31171" "83411.2133891676" 96980.3960642016 40.0359115600586 -96.5887832641602 "BIG BLUE RIVER AT BARNESTON NEBR."
"2735" "06610720" 17217462 "BEBN1" 23 30 32 36 NA "8040" NA NA NA NA 41.378490447998 -96.1823425292969 "Big Papillion Creek near Bennington               "
"2736" "06803530" 17399459 "CERN1" 21 22 25.5 28 27.6 "4310" "6100" "8650" "12548.4038556077" 17783.5559169528 41.0185012817383 -96.5457382202148 "ROCK CREEK NEAR CERESCO NEBR."
"2737" "06795500" 17421926 "CLBN1" 18 20 21 22 22.76 "3890" "6680" "8570" "10700" 12700 41.5273590087891 -97.2776184082031 "SHELL CREEK NEAR COLUMBUS NEBR."
"2738" "06881000" 18819832 "CRTN1" 19 21 25 29 29.86 "3720" "4950" "10100" "19400" 21600 40.5941009521484 -96.9552917480469 "BIG BLUE RIVER NEAR CRETE NEBR."
"2739" "06601200" 17244488 "DCTN1" 33 35 38 41 44.41 "93600" "111000" "147000" "2e+05" 246457.190716262 42.0077514648438 -96.2412109375 "MISSOURI RIVER AT DECATUR NE"
"2740" "06881380" 18792702 "DEWN1" 20.5 23.5 25 27 30.27 "2420" "4350" "6360" "11700" 28700 40.3680114746094 -96.8933258056641 "TURKEY CREEK NEAR DEWITT NEBR."
"2741" "06774000" 7301400 "DNCN1" 7 8 9 10 8.28 "15165" "23228" "33948" "118506.108231109" 30000 41.367790222168 -97.4703750610352 "PLATTE RIVER NEAR DUNCAN NEBR."
"2742" "06880800" 18799565 "DRGN1" 13 15 22 24.4 24.8 "2393" "3223" "13794" "30196" 33396 40.731071472168 -97.1778182983398 "WEST FORK BIG BLUE RIVER NEAR DORCHESTER NEBR."
"2743" "06809900" 19167379 "ENSI4" 23 23.5 27.5 30.5 NA "9840" "11200" NA NA NA 40.6855926513672 -95.5796279907227 "EAST NISHNABOTNA RIVER AT RIVERTON IA"
"2744" "06610795" 17219246 "FCKN1" 27 33 37 39 NA "11700" "23600" "36468.085324214" "47229.1877624221" NA 41.1191825866699 -95.9374618530273 "PAPILLION CREEK AT FORT CROOK NEBR."
"2745" "06815000" 19153077 "FLLN1" 25 27 33 36 34.4 "27200" "30400" "48400" "62300" 54700 40.037914276123 -95.5989532470703 "BIG NEMAHA RIVER AT FALLS CITY NEBR."
"2746" "06884000" 4020325 "FRBN1" 17 18.5 20 23 25.48 "10732" "14543" "20233" "42436" 66493.3 40.1161079406738 -97.1725997924805 "LITTLE BLUE RIVER NEAR FAIRBURY NEBR."
"2747" "06803555" 17405447 "GRNN1" 18 20 24 31 27.08 "12800" "16400" "24700" "58973.772045712" 34400 40.9782905578613 -96.4467849731445 "SALT CREEK AT GREENWOOD NEBR."
"2748" "06814500" 19153015 "HBLN1" 26 28 29.5 31 34.7 "40563" "50128" "61015.1867129416" "74785.5279051887" 118778.447633488 40.1597175598145 -95.9359512329102 "NORTH FORK BIG NEMAHA RIVER AT HUMBOLDT NEBR."
"2749" "06810000" 659660 "HMBI4" 23 25 27 33 33.18 "15662" "19662" "24963" "63567" 65100 40.6315269470215 -95.625617980957 "NISHNABOTNA RIVER ABOVE HAMBURG IA"
"2750" "06807410" 19209621 "HNKI4" 12 14 19 23 23.52 "7050" "9580" "17600" "27500" 30100 41.3893508911133 -95.3716888427734 "WEST NISHNABOTNA RIVER AT HANCOCK IA"
"2751" "06817000" 19129083 "ICLI4" 21 23 26 29 26.61 "20000" "27900" "42300" "116655.244341754" 47900 40.7246932983398 -95.0148086547852 "NODAWAY RIVER AT CLARINDA IA"
"2752" "06610750" 17217578 "IRVN1" 15 19.5 21.5 23.5 NA "4270" "9437.29733934694" "15145.1900414877" "23303.2430568144" NA 41.2992820739746 -96.0511245727539 "LITTLE PAPILLION CREEK NEAR IRVINGTON NEBR."
"2753" "06804000" 17398607 "ITHN1" 17 19 22 23 23.22 "2500" "3590" "11880" "78000" 56081.76 41.1497917175293 -96.5449371337891 "WAHOO CREEK AT ITHACA NEBR."
"2754" "06796500" 17415610 "LESN1" 7.5 8 10 12 11.84 "27500" "34400" "66700" "248394.804519104" 229979.348599869 41.3202285766602 -96.4059829711914 "PLATTE RIVER NEAR LESHARA NEBR."
"2755" "06609500" 17208706 "LGNI4" 19 21 22 25 25.22 "18700" "23400" "25900" "34400" 35100 41.6361351013184 -95.7933120727539 "BOYER RIVER AT LOGAN IA"
"2756" "06803093" 17405857 "LHBN1" 11 17 20.5 24.5 20.75 "894" "2290" "4760" "11628.8190352255" 5060 40.7700309753418 -96.7783660888672 "HAINES BRANCH AT SW 56TH ST AT LINCOLN NEBR."
"2757" "06803510" 17405547 "LICN1" 14 16 21 24 21.65 "2720" "3890" "8900" "11937.6403156299" 9790 40.8872528076172 -96.6760711669922 "LITTLE SALT CREEK NEAR LINCOLN NEBR."
"2758" "06803170" 17405855 "LMCN1" 12 19 NA NA 23.21 "1480" "4340" NA NA 6550 40.8074951171875 -96.7942962646484 "MIDDLE CREEK AT SW 63RD ST AT LINCOLN NEBR."
"2759" "06803486" 17405565 "LOKN1" 12 28 NA NA 22.66 "2890" "12704.2400354916" NA NA 9140 40.8591537475586 -96.7797164916992 "OAK CREEK AT AIR PARK ROAD AT LINCOLN NEBR."
"2760" "06805500" 17416036 "LOUN1" 8 9 11 12 12.45 "54781" "82984" "170794" "199746.856419476" 213429.004022589 41.0143432617188 -96.1626815795898 "PLATTE RIVER AT LOUISVILLE NEBR."
"2761" "06803513" 17405835 "LSCN1" 32 34 NA NA 33.39 "27400" "31000" NA NA 29800 40.8845710754395 -96.6388397216797 "SALT CREEK AT 70TH STREET AT LINCOLN NEBR."
"2762" "06803080" 17405897 "LUSN1" 15.5 28 29.5 NA 30.08 "3590" "12100" "13400" NA 13900 40.7581176757812 -96.7173309326172 "SALT CREEK AT PIONEERS BOULEVARD AT LINCOLN NEBR."
"2763" "06803520" 17405597 "LVNN1" 15 15 20 21.5 21.57 "1930" "2650" "7590" "11600" 11800 40.8444023132324 -96.5857696533203 "STEVENS CREEK NEAR LINCOLN NEBR."
"2764" "06607200" 17227027 "MAPI4" 19 21 24 27 24.7 "13502" "18702" "28289" "56240.1102993004" 14000 42.1563491821289 -95.8101425170898 "MAPLE RIVER AT MAPLETON IA"
"2765" "06610785" 17217684 "MWBN1" 23 29 31 34 NA "5230" NA NA NA NA 41.2045211791992 -96.1239776611328 "West Papillion Creek at Millard                   "
"2766" "06796000" 17415522 "NBDN1" 7 8 12 15 15.55 "26100" "40100" "204942.701449195" "471100.319776877" 80000 41.4516944885254 -96.7658996582031 "PLATTE RIVER AT NORTH BEND NEBR."
"2767" "06466500" 11761348 "NBZN1" 6 9 11.5 NA 8.63 "2072" "11955" "76672.8640442753" NA 9711.59 42.7610092163086 -97.9398193359375 "BAZILE CREEK NEAR NIOBRARA NEBR."
"2768" "06807000" 7312363 "NEBN1" 16 18 23 27 28.27 "71274" "84075" "134781" "308800" 446902.685265054 40.697437286377 -95.8490371704102 "MISSOURI RIVER AT NEBRASKA CITY NE"
"2769" "06799000" 17287753 "NFKN1" 10 12 13 17 17.22 "11600" "16700" "19500" "39700" 41100 42.0029945373535 -97.4232940673828 "ELKHORN RIVER AT NORFOLK NEBR."
"2770" "06800000" 17262269 "NKRN1" 10 11.5 13 17 17.65 "3208" "4418" "5778" "12679" 15328.1 41.5708160400391 -96.6516723632812 "MAPLE CREEK NEAR NICKERSON NEBR."
"2771" "06610732" 17217574 "OHAN1" 17.5 23.5 26.5 28.5 NA "4140" "7690" "10450.3198984439" "12968.8169795056" NA 41.3003463745117 -96.1028442382812 "BIG PAPILLION CREEK AT FORT STREET AT OMAHA NEBR."
"2772" "06610000" 17219468 "OMHN1" 25 29 32 40 40.2 "70300" "93700" "127000" "374000" 396000 41.2721748352051 -95.9140701293945 "MISSOURI RIVER AT OMAHA NE"
"2773" "06610765" 17217650 "OMLN1" 21.5 29 34 36 NA "17718.5497905793" "63551.6764635437" "125308.674032692" "159931.574336422" NA 41.2341918945312 -96.0142211914062 "LITTLE PAPILLION CR AT AK-SAR-BEN AT OMAHA NEBR."
"2774" "06799315" 17261127 "PLGN1" 10 12 14 15 19.85 "7551" "18253" "36155" "48956" 290791.320268372 41.9957504272461 -97.0569686889648 "ELKHORN RIVER AT PILGER NEBR."
"2775" "06799100" 17274026 "PRCN1" 10 12 14 16 15.1 "1316" "1796" "2286" "2796" 2562 42.14404296875 -97.4692611694336 "NORTH FORK ELKHORN RIVER NEAR PIERCE NEBR."
"2776" "06610788" 17217726 "PSBN1" 33.5 40 43 46 NA "7320" NA NA NA NA 41.1776504516602 -96.1245803833008 "                                                  "
"2777" "06608500" 17246982 "PSGI4" 26 28 29 30 28.87 "24500" "30000" "35500" "39992.2677590851" 34700 41.8304405212402 -95.9314422607422 "SOLDIER RIVER AT PISGAH IA"
"2778" "06610793" 17217754 "PWBN1" 26.5 31.5 33 35.5 NA "14600" NA NA NA NA 41.1559371948242 -96.0417861938477 "West Papillion Creek at Papillion                 "
"2779" "06610770" 17217680 "RABN1" 29 36 37.5 39.5 NA "10000" NA NA NA NA 41.2043609619141 -96.0165252685547 "                                                  "
"2780" "06809500" 19166807 "RDOI4" 16 18 22 27 29.39 "9120" "12600" "21400" "39900" 60500 41.0145683288574 -95.2418060302734 "EAST NISHNABOTNA RIVER AT RED OAK IA"
"2781" "06808500" 19210377 "RDPI4" 17 19 22 24 24.6 "7570" "10000" "21500" "33600" 16000 40.864574432373 -95.5802001953125 "WEST NISHNABOTNA RIVER AT RANDOLPH IA"
"2782" "06803000" 17405877 "ROCN1" 14 19 21.5 23 26 "1600" "3090" "10400" "12934.53" 24834.3629196601 40.6612815856934 -96.668327331543 "SALT CREEK AT ROCA NEBR."
"2783" "06813500" 3702540 "RULN1" 15 17 21 25.6 27.26 "72900" "86600" "116000" "182000" 328000 40.0502128601074 -95.4196548461914 "MISSOURI RIVER AT RULO NE"
"2784" "06803495" 17405849 "SALN1" 20 26.5 32.5 35.5 35.47 "6460" "15300" "27900" "35600" 35600 40.8425483703613 -96.6859512329102 "SALT CREEK AT FAIRGROUNDS AT LINCOLN NEBR."
"2785" "06602400" 14626230 "TRNI4" 21 23 25 28 28.03 "8468" "10378" "12679" "19879" 19959.4 41.9579086303711 -95.9893493652344 "MONONA-HARRISON DITCH NEAR TURIN IA"
"2786" "06607500" 14626246 "TURI4" 22 25 28 34.5 27.44 "17838" "25939" "35869" "80716.3447096666" 30000 41.9184913635254 -95.9730453491211 "LITTLE SIOUX RIVER NEAR TURIN IA"
"2787" "06799500" 17254864 "UEHN1" 16 18 19 21 20.86 "7244" "9824" "11675" "18742" 9150 41.7082901000977 -96.5253448486328 "LOGAN CREEK NEAR UEHLING NEBR."
"2788" "06806500" 7312223 "UION1" 23 25 28 30 30.97 "5730" "7300" "11700" "20200" 27800 40.794792175293 -95.9097671508789 "WEEPING WATER CREEK AT UNION NEBR."
"2789" "06465700" 11645915 "VEDN1" NA NA NA NA 8.1 NA NA NA NA 8891 42.6562614440918 -98.0422439575195 "VERDIGRE CREEK NEAR VERDIGRE NEBR."
"2790" "06796550" 17415706 "VENN1" 15 15.5 NA NA 18.18 "39600" "50700" NA NA NA 41.2001991271973 -96.3440017700195 "PLATTE RIVER NEAR VENICE NEBR."
"2791" "06453600" 11673186 "VERN1" 10 12 15 17 17.3 "1940" "3470" "6671" "9321" 10149 42.8108749389648 -98.1762542724609 "PONCA CREEK AT VERDEL NEBR."
"2792" "06465500" 11645823 "VRDN1" 6 7 9 10 10.62 "24300" "35300" "83620.3156532078" "125058.907180262" 157367.680321821 42.7449073791504 -98.234245300293 "NIOBRARA RIVER NEAR VERDEL NEBR."
"2793" "06600900" 17244186 "WHLN1" 18.5 20 NA NA 24.92 "2450" "3220" NA NA 14200 42.1457786560059 -96.4842071533203 "SOUTH OMAHA CREEK AT WALTHILL NEBR."
"2794" "06808820" 19210415 "WNSI4" 20 21.5 27 30 NA "6620" "8100" "27300" "74980.3426484257" NA 40.6869926452637 -95.5999908447266 "WEST NISHNABOTNA RIVER NEAR RIVERTON IA"
"2795" "06799350" 17262319 "WPNN1" 10 12 16 18.7 18.6 "8590" "16800" "94177.8866630443" "289508.023018584" 278541.716257907 41.8357238769531 -96.7276840209961 "ELKHORN RIVER AT WEST POINT NEBR."
"2796" "06800500" 24750511 "WTRN1" 15 17 18 21 19.12 "36700" "46300" "51500" "68700" 50200 41.2576179504395 -96.2590026855469 "ELKHORN RIVER AT WATERLOO NEBR."
"2797" "03431790" 18409490 "ACIT1" 24 28 32 36 NA "121049" "145454" "170537" "196229" NA 36.2718620300293 -87.0766372680664 "CUMBERLAND RIVER AT ASHLAND CITY TN"
"2798" "03431800" 18409192 "ACST1" 10 14 17 20 NA "5850" "27147.6844902597" "64703.5883170032" "133863.186734192" NA 36.321361541748 -87.0584945678711 "SYCAMORE CREEK NEAR ASHLAND CITY TN"
"2799" "03431000" 18408486 "ANTT1" 12 14 17 20 26.1 "4480" "6460" "10400" "17100" 46608.233141281 36.0723571777344 -86.6817169189453 "MILL CREEK NEAR ANTIOCH TN"
"2800" "03433500" 18391756 "BELT1" 14 20 24 28 33.2 "9300" "20000" "38100" "38732" 46502 36.0548400878906 -86.9354782104492 "HARPETH RIVER AT BELLEVUE TN"
"2801" "03431599" 18408070 "BORT1" 13 18 22 25 25.82 "3800" "8600" "11200" "16600" 18300 36.2065887451172 -86.8325805664062 "WHITES CREEK NEAR BORDEAUX TN"
"2802" "03601990" 19515920 "CNVT1" 17 22 25 32 47.5 "17200" "26900" "33400" "52300" 104000 35.7869033813477 -87.4624710083008 "DUCK RIVER AT HWY 100 AT CENTERVILLE TN"
"2803" "03599500" 19518240 "COLT1" 28 32 37.5 41 51.75 "19500" "23400" "32000" "39300" NA 35.6232223510742 -87.0338745117188 "                                                  "
"2804" "03604000" 19504798 "FLTT1" 15 22 25 30 32.69 "11452" "26257" "39408" "72157" 93100 35.4957046508789 -87.833122253418 "BUFFALO RIVER NEAR FLAT WOODS TN"
"2805" "03599450" 19531696 "FNHT1" NA 26 NA NA NA NA NA NA NA NA 35.5172271728516 -86.9391174316406 "FOUNTAIN CREEK NEAR FOUNTAIN HEIGHTS TN"
"2806" "03432350" 18393858 "FRAT1" 22 30 34 38 35.32 "6330" "13800" "21000" "21900" 19200 35.9169998168945 -86.8668060302734 "HARPETH RIVER AT FRANKLIN TN"
"2807" "03432400" 18393756 "HBFT1" 22 27 30 33 28.97 "6520" "10700" "16700" "21795.8918465258" 13900 35.9399909973145 -86.8913421630859 "HARPETH RIVER BELOW FRANKLIN TN"
"2808" "03603000" 19514640 "HMLT1" 20 24 26 28 34.21 "35300" "56000" "72400" "90900" 171000 35.9300079345703 -87.7432250976562 "                                                  "
"2809" "03588500" 19577851 "IRCT1" 10 14 19 22 28.1 "6890" "13300" "26900" "40400" 144495.282905023 35.0240936279297 -87.5782775878906 "SHOAL CREEK AT IRON CITY TN"
"2810" "03434500" 18393278 "KINT1" 18 20 25 30 46 "15800" "18700" "30300" "46200" 72000 36.1206893920898 -87.1016082763672 "HARPETH RIVER NEAR KINGSTON SPRINGS TN"
"2811" "03604400" 19503182 "LBVT1" 10 14 18 22 26 "5279" "11839" "23085" "44100" 101000 35.812328338623 -87.7782821655273 "                                                  "
"2812" "03599240" 19531956 "MLTT1" 30 36 40 45 37.4 "27700" "39700" "57586.5055843724" "101938.21890484" 39400 35.5886192321777 -86.7898406982422 "DUCK RIVER ABOVE MILLTOWN TN"
"2813" "03428200" 18402511 "MUGT1" NA NA NA NA 23.8 NA NA NA NA 31000 35.9107398986816 -86.4410018920898 "WEST FORK STONES RIVER AT MURFREESBORO TN"
"2814" "03431500" 18408692 "NAST1" 30 40 42 45 56.2 "71008" "112012" "121013" "149484" NA 36.1663093566895 -86.7751007080078 "CUMBERLAND RIVER AT NASHVILLE TN"
"2815" "03431300" 18408484 "NBCT1" 6 8 11 15 13.44 "1080" "2180" "4670" "13223.7878881748" 8540 36.142147064209 -86.7576370239258 "BROWNS CREEK AT STATE FAIRGROUNDS AT NASHVILLE TN"
"2816" "03430550" 18408390 "NLVT1" 11 13 17 20 NA "2960" "4640" "9100" NA NA 36.0095176696777 -86.7005920410156 "Mill Creek near Nolensville                       "
"2817" "03431700" 18408480 "NRCT1" 10 15 17 19 19.99 "3920" "8600" "11300" "14700" 16900 36.1465110778809 -86.854621887207 "RICHLAND CREEK AT CHARLOTTE AVE AT NASHVILLE TN"
"2818" "03426470" 18407884 "NSRT1" 9 12 15 18 13.87 "1200" "5281.13266009461" "56213.744831735" "388201.258479967" 24509.3352940889 36.2854881286621 -86.701301574707 "DRY CREEK NEAR EDENWOLD TN"
"2819" "03578000" 19604615 "PELT1" 11 14 17 20 14.08 "3130" "15200" "39984.6378463528" "88617.7467309014" 15800 35.2944946289062 -85.8771057128906 "ELK RIVER NEAR PELHAM TN"
"2820" "03584045" 19596000 "PLKT1" 16 20 30 35 NA "4950" "9240" "83819.0378829362" "175694.732280146" NA 35.1946601867676 -87.0631103515625 "RICHLAND CREEK AT HWY 64 BYPASS AT PULASKI TN"
"2821" "03436100" 10169834 "PORT1" 25 30 38 40 49.48 "13862" "18732" "31614" "35994" 63200 36.565673828125 -87.1565170288086 "RED RIVER AT PORT ROYAL TN"
"2822" "03584600" 19594712 "PSPT1" 22 26 37 40 40.9 "27500" "37800" NA NA NA 35.0138549804688 -86.9955673217773 "                                                  "
"2823" "03597860" 19533702 "SHET1" NA 28 35 38 NA NA NA NA NA NA 35.4722213745117 -86.4642486572266 "                                                  "
"2824" "03598000" 19534708 "SHVT1" 21 25 27.5 32 42 "13238" "18390" "22875" "33958" NA 35.4868698120117 -86.4965667724609 "                                                  "
"2825" "03602500" 19518084 "VERT1" 10 14 20 24 NA "4540" "9970" "28100" "47900" NA 35.8839912414551 -87.5001831054688 "PINEY RIVER AT VERNON TN"
"2826" "03431060" 18408240 "WBNT1" 12 14 17 21 21.37 "6950" "10200" "16300" "27400" 28600 36.1167449951172 -86.7151794433594 "MILL CREEK AT THOMPSON LANE NEAR WOODBINE TN"
"2827" "03597590" 19531616 "WRTT1" 9 14 17 20 16.72 "1870" "5280" "9970" "22164.1734628119" 9420 35.5199279785156 -86.3393630981445 "WARTRACE CREEK BELOW COUNTY ROAD AT WARTRACE TN"
"2828" "01302020" 6241423 "BBGN6" NA 3 3.5 4 NA NA "1260" "1560" "1890" NA 40.8607177734375 -73.875846862793 "BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY"
"2829" "01208500" 7718060 "BEAC3" 11.5 12 13 14 25.7 "11800" "13000" "15800" "19000" 106000 41.4421195983887 -73.0628890991211 "NAUGATUCK RIVER AT BEACON FALLS CT"
"2830" "01371500" 6200432 "GRDN6" 7.3 13 16 19 19.81 "6830" "17500" "23800" "30400" 30800 41.7173309326172 -74.1503524780273 "WALLKILL RIVER AT GARDINER NY"
"2831" "01391000" 6250612 "HOHN4" 2.5 3 5 7 7.32 "355" "795" "2420" "3750" 4670 40.992431640625 -74.1090393066406 "HOHOKUS BROOK AT HO-HO-KUS NJ"
"2832" "01127000" 6149075 "JCYC3" 16.5 17.5 20 21 29 "12400" "14100" "18900" "21000" 41000 41.5963592529297 -71.9850692749023 "QUINEBAUG RIVER AT JEWETT CITY CT"
"2833" "01391500" 6250666 "LODN4" 5.5 6 7 8 13.94 "1670" "1900" "2360" "2800" 5330 40.8747177124023 -74.0889892578125 "SADDLE RIVER AT LODI NJ"
"2834" "01387500" 6246322 "MAWN4" 7.5 8 9 12 15.78 "2160" "2780" "4310" "10300" 18300 41.0999870300293 -74.1604461669922 "RAMAPO RIVER NEAR MAHWAH NJ"
"2835" "01378500" 6250624 "NMLN4" 5.5 6 8 10 12.36 "2570" "2950" "4660" "7020" 11600 40.9493141174316 -74.026611328125 "HACKENSACK RIVER AT NEW MILFORD NJ"
"2836" "01387400" 6245458 "RAMN6" 9 10 12 14 NA "4700" "5780" "8200" "11000" NA 41.140308380127 -74.1676559448242 "RAMAPO RIVER AT RAMAPO NY"
"2837" "01377000" 6248392 "RIVN4" 4.5 5.5 6.5 8 12.26 "965" "1290" "1660" "2340" 4660 40.9992942810059 -73.9862823486328 "HACKENSACK RIVER AT RIVERVALE NJ"
"2838" "01390500" 6250616 "RWDN4" 5 5 6 7 11.42 "990" "990" "1530" "2190" 6770 40.9845924377441 -74.0911254882812 "SADDLE RIVER AT RIDGEWOOD NJ"
"2839" "01395000" 6261548 "RWYN4" 5.5 6 8 9.5 NA "1830" "2150" "3590" "4830" NA 40.6258392333984 -74.2861862182617 "RAHWAY RIVER AT RAHWAY NJ"
"2840" "01390450" 6245850 "SADN4" 4 4.5 5 5.5 5.64 "550" "1250" "2550" "4110" 4649.9 41.0580635070801 -74.0962524414062 "SADDLE RIVER AT UPPER SADDLE RIVER NJ"
"2841" "01204000" 7716608 "SBYC3" 8.5 9 10 12 21.8 "2780" "3200" "4110" "6260" 29400 41.4806785583496 -73.2253646850586 "POMPERAUG RIVER AT SOUTHBURY CT"
"2842" "01387420" 6245602 "SFFN6" 14.8 15.2 16.5 17.5 NA "8080" "8530" "10100" "11300" NA 41.1230049133301 -74.1619873046875 "RAMAPO RIVER AT SUFFERN NY"
"2843" "01394500" 6261526 "SPGN4" 4.5 5.5 7 9 10.67 "691" "1040" "1680" "4000" 7990 40.6905059814453 -74.3102111816406 "RAHWAY RIVER NEAR SPRINGFIELD NJ"
"2844" "01387450" 6245480 "SUFN6" 3.5 4 NA NA 9.7 "151" "243" NA NA 3170 41.1465263366699 -74.111701965332 "MAHWAH RIVER NEAR SUFFERN NY"
"2845" "01196500" 6177036 "WALC3" 9 10 11.8 13 NA "1790" "2440" "4420" "6190" NA 41.4452819824219 -72.8397674560547 "QUINNIPIAC RIVER AT WALLINGFORD CT"
"2846" "01377500" 6249408 "WSDN4" 3.5 4 5 5.5 11.4 "511" "742" "1310" "1650" 8330 40.9901237487793 -74.0105285644531 "PASCACK BROOK AT WESTWOOD NJ"
"2847" "01127500" 6168318 "YTCC3" 7.5 9 9.5 11 14.88 "2600" "3730" "4140" "5540" 9850 41.5585746765137 -72.1215057373047 "YANTIC RIVER AT YANTIC CT"
"2848" "13334300" 24228251 "ANAW1" 19 20 23 24 24.45 "139000" "150000" "182000" "193000" 195000 46.0975532531738 -116.97346496582 "SNAKE RIVER NEAR ANATONE WA"
"2849" "12452800" 23208058 "ARDW1" 6 7.5 8 9 8.98 "2710" "4820" "5710" "7169.46459912139" 6430 47.8123970031738 -120.414070129395 "ENTIAT RIVER NEAR ARDENVOIR WA"
"2850" "12414500" 23004329 "CLDI1" 12 13 15 16 18.2 "15800" "20600" "32600" "40000" 46000 47.2742691040039 -116.188957214355 "ST JOE RIVER AT CALDER ID"
"2851" "12413500" 24379309 "CTLI1" 42 43 46 50 51.24 "15800" "19400" "33000" "57700" 67000 47.5640602111816 -116.307235717773 "COEUR D ALENE RIVER NR CATALDO ID"
"2852" "12306500" 1170023539 "EASI1" 8 9 10 11 10.55 "4700" "6390" "8550" "11000" 9400 49.0035438537598 -116.17943572998 "MOYIE RIVER AT EASTPORT ID"
"2853" "12413000" 24372850 "ENVI1" 71 72 75 77 81.32 "23900" "27600" "43300" "57321.5808647263" 61000 47.5720138549805 -116.253463745117 "NF COEUR D ALENE RIVER AT ENAVILLE ID"
"2854" "12401500" 23041033 "FRYW1" 17.5 18.5 19.5 20.5 21.15 "12100" "14300" "16500" "18800" 21200 48.9819641113281 -118.765853881836 "KETTLE RIVER NEAR FERRY WA"
"2855" "12424000" 23017906 "HAGW1" 10 11 13 15 14.9 "8790" "10500" "14800" "25603.491728392" 25800 47.6538848876953 -117.451889038086 "HANGMAN CREEK AT SPOKANE WA"
